action_id,user_id,callback,message,timestamp
217,482410857,personal_acc,"",1752523139
218,482410857,buy_key,"",1752523140
219,482410857,to_pay_month,"",1752523143
220,482410857,personal_acc,"",1752523153
221,482410857,start_menu,"",1752523156
222,482410857,install_vpn,"",1752523157
223,482410857,android,"",1752523158
224,482410857,install_vpn,"",1752523159
225,482410857,start_menu,"",1752523160
226,482410857,help,"",1752523162
227,482410857,start_menu,"",1752523163
228,482410857,personal_acc,"",1752523165
229,482410857,start_menu,"",1752523167
260,1041940607,to_pay_3_months,"",1752524142
261,638795782,"",/start,1752524146
262,638795782,trial_per,"",1752524156
263,1049570990,install_vpn,"",1752524169
264,1049570990,ios,"",1752524174
265,1953407326,"",/start,1752524191
266,638795782,install_vpn,"",1752524200
267,638795782,ios,"",1752524203
268,1196652388,"",/start,1752524259
269,862797715,trial_per,"",1752524274
270,862797715,buy_key,"",1752524284
271,5167755906,"",/start,1752524292
272,638795782,help_install_vpn,"",1752524295
273,638795782,help_app,"",1752524298
274,5167755906,trial_per,"",1752524305
275,6519288760,"",/start,1752524311
276,482410857,personal_acc,"",1752524317
277,5167755906,buy_key,"",1752524318
278,862797715,start_menu,"",1752524318
279,862797715,install_vpn,"",1752524321
280,1336353605,"",/start,1752524322
281,862797715,ios,"",1752524327
282,1336353605,install_vpn,"",1752524334
283,1336353605,buy_key_in_install,"",1752524337
284,1336353605,to_pay_month,"",1752524341
285,1041940607,install_vpn,"",1752524360
286,1041940607,ios,"",1752524363
287,1041940607,help_install_vpn,"",1752524429
288,1041940607,help,"",1752524434
289,1041940607,help_install_vpn,"",1752524437
290,1041940607,help,"",1752524445
291,1041940607,start_menu,"",1752524449
292,1041940607,personal_acc,"",1752524452
293,1450037050,"",/start,1752524453
294,1450037050,trial_per,"",1752524457
295,1450037050,install_vpn,"",1752524468
296,1450037050,ios,"",1752524471
297,1041940607,start_menu,"",1752524477
298,1041940607,personal_acc,"",1752524483
299,1049570990,help_install_vpn,"",1752524508
